#north, east, depth, roll, pitch, yaw, angle-to-next-point
0.0 0.0 0 0 0 0 0.0
5.0 0.0 0 0 0 0 0.0177611775189
9.20680189917 0.0747256131161 0 0 0 0 0.226898435175
13.2548282037 1.00931013913 0 0 0 0 0.0690211753498
18.0586042337 1.34139992441 0 0 0 0 0.158714177439
22.8007446002 2.1004289224 0 0 0 0 0.521348256095
27.5112144954 4.80590362999 0 0 0 0 0.381770261957
32.8989964883 6.96891948853 0 0 0 0 0.478363537911
38.0602703685 9.645208311 0 0 0 0 0.304112485159
44.8754069344 11.7841254218 0 0 0 0 0.551508015777
50.1882964761 15.0525194938 0 0 0 0 0.35400556307
56.3873596842 17.3435348913 0 0 0 0 0.28940531905
63.0436136875 19.3255361218 0 0 0 0 0.232004998866
70.2913548542 21.0378822146 0 0 0 0 0.354655240945
77.4189166896 23.6773113432 0 0 0 0 0.215833471759
84.3347474681 25.193597493 0 0 0 0 0.0
