Tue Apr 19 14:29:00 2016    prof

         750002 function calls (710226 primitive calls) in 1.671 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    1.673    1.673 linear_approximation.py:3(<module>)
        1    0.000    0.000    1.113    1.113 simple_basis_functions.py:3(<module>)
        1    0.002    0.002    1.072    1.072 gaussian.py:2(<module>)
        2    0.000    0.000    0.635    0.318 launcher.py:54(load_manifest)
        1    0.000    0.000    0.635    0.635 launcher.py:84(_generate_python_path)
      117    0.000    0.000    0.634    0.005 rospack.py:157(get_manifest)
       57    0.000    0.000    0.634    0.011 rospack.py:204(_load_manifest)
       57    0.007    0.000    0.475    0.008 manifest.py:354(parse_manifest_file)
        1    0.000    0.000    0.475    0.475 launcher.py:50(get_depends)
    258/1    0.001    0.000    0.475    0.475 rospack.py:211(get_depends)
      468    0.001    0.000    0.426    0.001 rospack.py:166(_update_location_cache)
       21    0.017    0.001    0.426    0.020 rospack.py:45(list_by_path)
25924/4648    0.064    0.000    0.341    0.000 os.py:209(walk)
        5    0.018    0.004    0.311    0.062 linear_approximation.py:139(calculateGradient)
       61    0.000    0.000    0.300    0.005 rospack.py:192(get_path)
     2010    0.002    0.000    0.266    0.000 linear_approximation.py:57(computeOutput)
     2010    0.264    0.000    0.264    0.000 {numpy.core._dotblas.dot}
        1    0.000    0.000    0.210    0.210 rospack.py:52(init_rospack_interface)
       27    0.007    0.000    0.187    0.007 __init__.py:1(<module>)
        1    0.000    0.000    0.146    0.146 load_goals.py:16(load_goals)
        3    0.004    0.001    0.144    0.048 __init__.py:15(<module>)
        1    0.000    0.000    0.144    0.144 load_goals.py:53(load_goals_by_type)
       54    0.001    0.000    0.140    0.003 package.py:347(parse_package)
    28681    0.029    0.000    0.138    0.000 genericpath.py:38(isdir)
       54    0.011    0.000    0.136    0.003 package.py:376(parse_package_string)
        1    0.000    0.000    0.132    0.132 lookup.py:579(get_rosdep_view)
      407    0.001    0.000    0.128    0.000 rospack.py:183(list)
     1094    0.002    0.000    0.128    0.000 re.py:226(_compile)
      6/5    0.000    0.000    0.126    0.025 lookup.py:506(_load_view_dependencies)
        1    0.000    0.000    0.126    0.126 rospkg_loader.py:77(load_view)
        1    0.000    0.000    0.126    0.126 rospkg_loader.py:106(get_loadable_views)
        5    0.125    0.025    0.125    0.025 {time.sleep}
      143    0.001    0.000    0.124    0.001 sre_compile.py:495(compile)
      140    0.000    0.000    0.122    0.001 re.py:188(compile)
        6    0.001    0.000    0.120    0.020 {__import__}
13633/2651    0.035    0.000    0.096    0.000 copy.py:145(deepcopy)
    28976    0.091    0.000    0.091    0.000 {posix.stat}
        1    0.001    0.001    0.088    0.088 pyplot.py:15(<module>)
    37703    0.055    0.000    0.081    0.000 posixpath.py:60(join)
        1    0.002    0.002    0.081    0.081 __init__.py:106(<module>)
        1    0.003    0.003    0.080    0.080 figure.py:13(<module>)
        1    0.002    0.002    0.078    0.078 main.py:119(_get_default_RosdepLookup)
        1    0.001    0.001    0.077    0.077 __init__.py:32(<module>)
        1    0.001    0.001    0.076    0.076 sources_list.py:595(create_default)
     4756    0.070    0.000    0.070    0.000 {posix.listdir}
        1    0.003    0.003    0.070    0.070 axes.py:1(<module>)
        1    0.000    0.000    0.070    0.070 sources_list.py:488(load_cached_sources_list)
        1    0.000    0.000    0.070    0.070 sources_list.py:328(parse_sources_data)
        8    0.000    0.000    0.070    0.009 sources_list.py:184(create_model)
        2    0.000    0.000    0.069    0.035 __init__.py:3087(_call_aside)
        1    0.000    0.000    0.069    0.069 __init__.py:3102(_initialize_master_working_set)
        8    0.068    0.008    0.068    0.008 {cPickle.loads}
        1    0.001    0.001    0.067    0.067 lookup.py:30(<module>)
      143    0.000    0.000    0.064    0.000 sre_compile.py:480(_code)
        6    0.008    0.001    0.063    0.011 __init__.py:2(<module>)
      686    0.006    0.000    0.062    0.000 copy.py:306(_reconstruct)
      143    0.001    0.000    0.059    0.000 sre_parse.py:663(parse)
        3    0.001    0.000    0.058    0.019 __init__.py:33(<module>)
  520/143    0.003    0.000    0.058    0.000 sre_parse.py:301(_parse_sub)
  767/155    0.021    0.000    0.057    0.000 sre_parse.py:379(_parse)
      630    0.006    0.000    0.052    0.000 ElementTree.py:607(__init__)
       68    0.001    0.000    0.051    0.001 __init__.py:686(add_entry)
        1    0.001    0.001    0.046    0.046 __init__.py:40(<module>)
      630    0.002    0.000    0.046    0.000 <string>:23(parse)
 1439/143    0.012    0.000    0.045    0.000 sre_compile.py:32(_compile)
     1292    0.009    0.000    0.045    0.000 copy.py:234(_deepcopy_tuple)
      552    0.004    0.000    0.043    0.000 __init__.py:2113(find_on_path)
       11    0.004    0.000    0.041    0.004 simple_basis_functions.py:18(computeFeatures)
       31    0.000    0.000    0.041    0.001 {map}
        1    0.002    0.002    0.040    0.040 axis.py:3(<module>)
        1    0.000    0.000    0.040    0.040 mmlf_fourier.py:1(<module>)
        1    0.000    0.000    0.040    0.040 mmlf_representation.py:1(<module>)
        1    0.000    0.000    0.039    0.039 add_newdocs.py:9(<module>)
       60    0.002    0.000    0.038    0.001 package.py:107(__getattr__)
        1    0.001    0.001    0.035    0.035 __init__.py:74(<module>)
     4400    0.035    0.000    0.035    0.000 gaussian.py:94(gaussian1D)
       57    0.001    0.000    0.035    0.001 minidom.py:1926(parseString)
      545    0.002    0.000    0.035    0.000 sre_compile.py:178(_compile_charset)
      630    0.034    0.000    0.034    0.000 {built-in method _parse}
       57    0.000    0.000    0.034    0.001 expatbuilder.py:932(parseString)
       57    0.000    0.000    0.032    0.001 expatbuilder.py:219(parseString)
      545    0.015    0.000    0.032    0.000 sre_compile.py:207(_optimize_charset)
        1    0.001    0.001    0.031    0.031 loader.py:2(<module>)
        1    0.002    0.002    0.031    0.031 sources_list.py:30(<module>)
       59    0.007    0.000    0.030    0.001 {built-in method Parse}
        1    0.000    0.000    0.030    0.030 _import_tools.py:128(__call__)
        2    0.001    0.001    0.028    0.014 __init__.py:99(<module>)
        1    0.000    0.000    0.028    0.028 __init__.py:644(_build_master)
        1    0.000    0.000    0.028    0.028 __init__.py:631(__init__)
      486    0.002    0.000    0.028    0.000 __init__.py:2492(from_location)
        2    0.000    0.000    0.027    0.013 _Empty.py:1(<module>)
        1    0.000    0.000    0.026    0.026 message.py:38(<module>)
     26/1    0.000    0.000    0.026    0.026 _import_tools.py:49(_init_info_modules)
      646    0.005    0.000    0.025    0.000 copy.py:253(_deepcopy_dict)
     37/6    0.001    0.000    0.025    0.004 _import_tools.py:29(_get_info_files)
        1    0.000    0.000    0.024    0.024 base.py:33(<module>)
        1    0.000    0.000    0.024    0.024 inspect.py:25(<module>)
       74    0.000    0.000    0.024    0.000 glob.py:10(glob)
 1750/136    0.003    0.000    0.023    0.000 glob.py:18(iglob)
      486    0.002    0.000    0.022    0.000 __init__.py:2480(__init__)
        1    0.000    0.000    0.022    0.022 specifiers.py:14(<module>)
        1    0.000    0.000    0.021    0.021 type_check.py:3(<module>)
        1    0.001    0.001    0.021    0.021 rcsetup.py:14(<module>)
    28674    0.014    0.000    0.021    0.000 stat.py:40(S_ISDIR)
    11109    0.006    0.000    0.020    0.000 sre_parse.py:201(get)
        1    0.000    0.000    0.019    0.019 specifiers.py:285(Specifier)
        1    0.000    0.000    0.019    0.019 tokenize.py:23(<module>)
    46512    0.019    0.000    0.019    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.019    0.019 __init__.py:966(subscribe)
      143    0.001    0.000    0.018    0.000 sre_compile.py:361(_compile_info)
      239    0.000    0.000    0.018    0.000 __init__.py:3127(<lambda>)
      239    0.001    0.000    0.018    0.000 __init__.py:2641(activate)
        1    0.001    0.001    0.018    0.018 fontconfig_pattern.py:7(<module>)
    10424    0.015    0.000    0.018    0.000 copy.py:267(_keep_alive)
      480    0.001    0.000    0.018    0.000 __init__.py:1376(safe_version)
        1    0.001    0.001    0.017    0.017 gbpdistro_support.py:1(<module>)
    12655    0.014    0.000    0.016    0.000 sre_parse.py:182(__next)
        1    0.000    0.000    0.015    0.015 __init__.py:46(<module>)
        1    0.001    0.001    0.014    0.014 client.py:37(<module>)
       11    0.000    0.000    0.014    0.001 artist.py:1212(kwdoc)
        1    0.000    0.000    0.014    0.014 reader.py:18(<module>)
        1    0.000    0.000    0.014    0.014 reader.py:45(Reader)
        1    0.001    0.001    0.014    0.014 pyparsing.py:59(<module>)
      480    0.005    0.000    0.013    0.000 version.py:208(__init__)
      324    0.003    0.000    0.013    0.000 package.py:594(_get_dependencies)
     1550    0.003    0.000    0.013    0.000 glob.py:63(glob0)
      630    0.001    0.000    0.012    0.000 ElementTree.py:694(find)
        1    0.001    0.001    0.012    0.012 text.py:3(<module>)
    67408    0.011    0.000    0.011    0.000 {method 'append' of 'list' objects}
    45201    0.011    0.000    0.011    0.000 {method 'endswith' of 'str' objects}
        1    0.001    0.001    0.011    0.011 font_manager.py:21(<module>)
      630    0.002    0.000    0.011    0.000 {built-in method find}
     1032    0.001    0.000    0.011    0.000 pyexpat.c:566(StartElement)
        2    0.011    0.006    0.011    0.006 sre_compile.py:301(_optimize_unicode)
        1    0.000    0.000    0.011    0.011 launcher.py:37(<module>)
        1    0.000    0.000    0.011    0.011 resolver.py:2(<module>)
        1    0.000    0.000    0.010    0.010 rosdistrohelper.py:30(<module>)
        3    0.001    0.000    0.010    0.003 __init__.py:35(<module>)
     1020    0.004    0.000    0.010    0.000 expatbuilder.py:743(start_element_handler)
